t,x,y
12.51,3.405731,10.658216
12.525,15.099794,16.723211
12.54,16.547886,2.781726
12.555,10.565845,5.234045
12.57,12.966607,11.713946
12.585,21.861203,5.414829
12.6,17.232562,23.173664
12.615,25.636136,12.573312
12.63,17.336453,23.225071
12.645,12.722155,16.542098
12.66,17.615585,24.139951
12.675,16.48458,3.186911
12.69,21.048965,11.008108
12.705,21.877821,12.743882
12.72,17.210139,11.981134
12.735,17.181635,11.936365
12.75,17.358825,23.178169
12.765,12.815747,16.556225
12.78,12.827127,16.553342
12.795,21.749103,12.636326
12.81,16.408332,2.761538
12.825,21.797823,12.631592
12.84,10.4662,19.811033
12.855,15.949195,6.390084
12.87,22.385417,21.091665
12.885,15.638877,16.668691
12.9,4.76792,9.756554
12.915,26.147255,12.887777
12.93,25.809577,12.58593
12.945,4.042969,12.955649
12.96,16.032441,6.494456
12.975,3.76862,13.373015
12.99,20.752296,19.255209
13.005,22.359548,21.021616
13.02,3.746,13.366777
13.035,3.526661,16.119731
13.05,3.705255,13.409818
13.065,26.310109,15.538307
13.08,2.959234,6.062143
13.095,16.321617,5.173413
13.11,21.446853,17.891953
13.125,10.451302,19.734461
13.14,10.524106,11.030505
13.155,21.601168,17.80128
13.17,22.339023,20.708781
13.185,4.817128,9.820922
13.2,3.64637,13.355593
13.215,10.660796,11.081599
13.23,14.468321,12.18583
13.245,26.120443,12.964762
13.26,20.244613,9.02704
13.275,17.185646,12.04945
13.29,12.661415,15.360814
13.305,12.833047,16.600133
13.32,21.491062,17.958899
13.335,12.806433,16.595179
13.35,21.812409,12.678951
13.365,4.597122,14.436941
13.38,20.378094,8.757978
13.395,21.465062,9.508761
13.41,3.77439,13.431535
13.425,1.37021,15.309234
13.44,26.18662,15.066956
13.455,22.251171,5.668516
13.47,3.631292,13.369552
13.485,11.88082,11.908893
13.5,16.47336,2.886432
13.515,13.055815,3.857817
13.53,12.012017,12.263769
13.545,8.209599,9.308053
13.56,17.096222,23.1268
13.575,12.896413,16.595277
13.59,15.494339,11.347642
13.605,1.239247,15.340879
13.62,25.792826,12.803987
13.635,26.2152,15.113193
13.65,12.270944,12.188592
13.665,17.766279,24.096779
13.68,17.708278,24.147912
13.695,11.904421,5.529962
13.71,5.208761,17.200794
13.725,5.187216,17.250314
13.74,12.779321,15.438711
13.755,12.261,11.905077
13.77,20.395585,8.747753
13.785,26.248219,13.017672
13.8,12.40088,11.815732
13.815,17.631503,24.153522
13.83,12.814945,16.530197
13.845,2.928266,6.034006
13.86,12.618959,14.134886
13.875,12.260447,11.720628
13.89,16.409387,5.30582
13.905,17.191602,12.022085
13.92,12.134636,11.837566
13.935,21.862596,12.791597
13.95,17.707319,23.858673
13.965,12.880227,16.580204
13.98,17.807067,23.84978
13.995,12.580551,15.440508
14.01,16.165213,5.341189
14.025,15.115177,16.710056
14.04,26.070386,15.121828
14.055,16.388684,2.95155
14.07,16.15141,5.406464
14.085,16.03393,6.484778
14.1,17.164312,12.047195
14.115,25.961787,12.852316
14.13,16.501185,3.020259
14.145,25.76698,12.897182
14.16,13.095689,11.650729
14.175,1.332621,15.42608
14.19,3.054734,5.949607
14.205,17.142041,12.10939
14.22,1.285633,15.335661
14.235,17.187849,12.102127
14.25,15.075849,16.739572
14.265,20.122095,9.376253
14.28,10.578496,5.284215
14.295,21.486516,17.822266
14.31,19.957569,9.18655
14.325,17.20791,11.999682
14.34,1.327818,15.447645
14.355,17.256814,24.521495
14.37,16.035665,6.475304
14.385,17.121357,12.023726
14.4,5.065338,16.87481
14.415,12.880439,16.584251
14.43,17.873968,24.026333
14.445,19.780426,24.252805
14.46,1.378374,15.459196
14.475,17.791431,24.054233
14.49,3.765769,13.491431
14.505,3.035298,5.87576
14.52,21.551981,5.711821
14.535,16.572119,2.860384
14.55,8.873893,1.810187
14.565,11.158599,5.424899
14.58,3.877106,13.476188
14.595,12.995044,11.642672
14.61,12.898994,16.620718
14.625,3.819859,13.498052
14.64,18.281493,23.461485
14.655,3.818278,13.477505
14.67,4.073785,15.519118
14.685,4.047941,15.576872
14.7,12.839778,16.526982
14.715,15.04878,16.808494
14.73,12.79206,16.646905
